action, count, time
SAVE, 2, 278
UPDATE, 1, 62
SAVE, 2, 200
UPDATE, 1, 51
SAVE, 2, 106
UPDATE, 1, 72
SAVE, 2, 113
UPDATE, 1, 25
UPDATE, 1, 9
SAVE, 2, 115
SELECT_BY_ID, 1, 39
SELECT_BY_ID, 1, 32
SAVE, 2, 140
SELECT_ALL, 44, 74
SAVE, 2, 86
SAVE, 2, 159
SAVE, 2, 172
SAVE, 2, 106
SAVE, 2, 159
SAVE, 2, 132
SAVE, 2, 141
SELECT_BY_LANG, 29, 72
SELECT_BY_LANG, 29, 238
